BOAMP_AVIS_NUM,D_14_01_Conditionparticipationsystmequalif_Conditions,D_14_02_Conditionparticipationsystmequalif_Methodeverification
17-59504,Se reporter au règlement de la consultation,
17-60054,Se référer au règlement de la consultation,
17-83170,"Critères de sélection des candidatures : Seront admises les candidatures qui garantissent une aptitude à exercer l'activité professionnelle requise, la capacité économique et financière et des capacités techniques et professionnelles nécessaires à l'exécution des prestationsPièces à remettre au titre de la candidature : 1/ La lettre de candidature et d'habilitation du mandataire par les cotraitants (DC1) complétée et signée2 / La déclaration du candidat (DC2) complétée et accompagnée par un dossier de présentation générale comprenant les références, compétences et moyens du candidat. 3/ Attestations sociales et fiscales, 4/Attestation d'assurance de responsabilité civile professionnelle. Pièces à remettre au titre de l'offre : 1/ Acte d'engagement complété et signé2 / Le mémoire technique selon les prescriptions du règlement de la consultation, 3 / La décomposition de prix global été forfaitaire pour chaque lot4/ S'il y a lieu un certificat de visite",
17-46748,"Le candidat devra fournir les attestations de qualification qui suivent :Pour la démolition :- Qualibat 1311 ou équivalent, terrassements - fouilles (technicité courante)- Qualibat 1112 ou équivalent, démolitions (technicité confirmée)Pour le désamiantage :-Qualibat 1513 ou équivalent, traitement de l'amiante en place concernant les matériaux et produits friables.",
17-62875,se reporter au règlement de la consultation,
17-63524,"QUALISPORT 102 - Terrain de grand jeu en gazon synthétique, ou équivalent.",
17-64806,SELON RC,EN FONCTION DES JUSTIFICATIFS FOURNIS
17-68664,"Les concurrents joindront impérativement à l'appui de leur offre les certificats et attestations cités aux articles 48, 50 à 54 du Décret no 2016-360 du 25 mars 2016 relatif aux marchés publics et précisés dans le règlement de la consultation.",
17-52308,Conformité des documents demandés.,
