BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
12-26518,Office Tourisme Roquebrune Cap Martin,None,MAZZONI Anne-Hélène,,,218 avenue Aristide Briand,06190,Roquebrune Cap Martin,,04-93-35-62-87,,,anne-helene.mazzoni@mairiercm.fr,,,,,,,False,False,,False,False
16-107854,MINDEF/DGA/DO/S2A,FR 34152000257,"Mr Pascal Tribout - Acheteur-Négociateur, Ministère de la défense, F-13804 Istres Cedex.",,,Ministère de la défense - Direction Générale de l'Armement - Direction des Opérations - Service des Achats d'Armement / Division Achats Sud Est site Istres MINDEF/Dga/Do/S2a/Prod/Da-Se/Site Istres,13804,Istres Cedex,,(+33) 4-42-48-37-64,,(+33) 4-42-48-32-10,pascal.tribout@intradef.gouv.fr,http://www.ixarm.com,https://www.marches-publics.gouv.fr,http://www.ixarm.com,https://www.marches-publics.gouv.fr,,,False,False,,False,False
16-111383,Cté de Communes des Hauts de Flandre,None,Monsieur le Président,,,"468, rue de la Couronne de Bierne",59380,Bergues,,03-28-68-70-68,,,marieclaire.tyberghein@cc-hautsdeflandre.fr,http://www.cchf.fr,http://www.cdg59,,,,,False,False,,False,False
16-117120,CNAVTS de Paris,None,,,FR10,110 Avenue de Flandre,None,Paris,,,,,francoise.groult@cnav.fr,https://www.meoss.fr,,,https://www.meoss.fr,https://www.meoss.fr,,False,True,,False,True
16-117442,GCS EPSILIM,None,,,FR63,,None,Limoges,,,,,secretariat-gcs@epsilim.fr,http://www.epsilim.fr,,,,,,False,True,,False,True
16-117488,GCS EPSILIM,None,,,FR63,,None,Limoges,,,,,secretariat-gcs@epsilim.fr,http://www.epsilim.fr,,,,,,False,True,,False,True
16-126428,Mairie d'Ormoy,None,,,FR104,Place  Raymond GombaultRaymond Gombault,91540,ORMOY,,(+33) 1-69-90-75-00,,(+33) 1-64-57-19-53,mairie@ormoy.fr,http://www.ormoy.fr,http://www.e-marchespublics.com,,https://www.e-marchespublics.com,https://www.e-marchespublics.com,,False,True,,False,True
16-134508,Rouen Habitat,None,M. le Directeur Général,,,5 Place du Général de GaulleBP16,76001,Rouen,,02-35-15-61-61,,02-35-15-61-16,contact@rouenhabitat.fr,https://www.marches-publics.info/accueil.htm,https://www.marches-publics.info/accueil.htm,,,,,False,False,,False,False
16-134966,DREAL Centre,None,Sophie CHAMFRAY - DREAL Centre-Val de Loire,,,5 avenue Buffon CS 96407,45064,Orléans,,,,,,,https://www.marches-publics.gouv.fr,,,,,False,False,,False,False
16-136939,CCAS de Baillargues,None,M. le Président du CCAS,,,"2, rue des Remparts",34670,Baillargues,,04-67-87-81-76,,04-67-70-84-06,marches@ville-baillargues.fr,http://www.ville-baillargues.fr/,https://portail.marcoweb.fr/Portail/pages/accueil/accueil.seam?rd=YWd5c29mdC5tYXJjb3dlYi5mcg==,,,,,False,False,,False,False
16-139151,Cté d'Agglomération du Pays Ajaccien,None,,marche-public@ca-ajaccien.fr,FR831,Site AlbanBâtiments G et H18 rue Comte de Marbeuf,20000,Ajaccio,,(+33) 4-95-52-95-00,,(+33) 4-95-52-53-18,marche-public@ca-ajaccien.fr,http://www.ca-ajaccien.fr,http://www.achatpublic.com,,,,,False,True,,False,True
16-145313,Commune de Saint-Louis,None,,,FR940,,97450,Saint-Louis,,(+33) 0-26-29-19-50,,(+33) -02-62-57-64-49,commandepublique@mairie-saint-louis.re,http://www.mairiesaintlouis.re,,,,https://marchespublics-saintlouis.omnikles.com,,False,True,,False,True
