BOAMP_AVIS_NUM,D_14_01_Conditionparticipationsystmequalif_Conditions,D_14_02_Conditionparticipationsystmequalif_Methodeverification
17-50333,Voir Règlement de la Consultation,
17-50445,se référer au Règlement de la consultation,
17-51996,se référer au règlement de la consultation,
17-52308,Conformité des documents demandés.,
17-35860,"Capacités techniques, capacités professionnelles et garanties financières",
17-55414,Se référer au Règlement de la Consultation.,
17-15851,"Diplôme d'architecte du patrimoine diplômé de l'école de Chaillot ou par un architecte titulaire du DSA, mention "" architecture et patrimoine "" ou de tout autre diplôme européen équivalent.Inscription à un tableau régional de l'ordre des architectes en vertu des dispositions de l'article 10 de la loi du 3 janvier 1977,",Remise des copie des diplômes obtenus et carte d'inscription à l'Ordre
17-56223,capacités technique et et professionnelleréférence du mandataire et de ses partenairescohérence de l'équipe,- valeur technique et note méthodologique : 60 %- proposition d'honoraires : 40 %
17-57629,"Les concurrents joindront impérativement à l'appui de leur offre les certificats et attestations cités aux articles 48, 50 à 54 du Décret relatif aux marchés publics et précisés dans le règlement de la consultation.",
