BOAMP_AVIS_NUM,D_14_01_Conditionparticipationsystmequalif_Conditions,D_14_02_Conditionparticipationsystmequalif_Methodeverification
17-68831,Voir le Règlement de Consultation,
17-69000,Le matériel de vidéoprotection (caméra logiciel élément de transmission notamment les antennes)nécessite des formations qualifiantes spécifiques pour leur configuration et leur installation,valeur mémoire technique 60 %prix des prestations 40 %
17-69478,Les marchés débuteront à compter de la date fixée par l'ordre de service. Des prestations supplémentaires ou alternatives sont définies au cahier des charges.,"Conformément à la législation française, l'ouverture des offres n'est pas publique. Le dossier de consultation peut être envoyé par mail après demande par courrier ou par mail ou retiré en mairie aux heures d'ouvertures auprès de M. le Maire Didier JOVENAIUX ou messieurs les Maire-Adjoints Thierry GIADZ et Christophe DASSONVILLE.L'entrepreneur devra impérativement visiter le site avant d'établir son offre car il ne pourra, par la suite, invoquer sa méconnaissance du site pour justifier une quelconque modification à la teneur de la prestation qui lui est impartie ou encore demander, à ce titre, une modification des conditions économiques du marché. . Les offres peuvent être transmises par lettre recommandée avec avis de réception ou déposées contre récépissé."
17-70844,cf documents du marchés,cf documents du marchés
17-72354,"Ne seront pas admises :- Les candidatures qui ne seront pas recevables en application des articles 48 et 51 du décret no 2016-360 du 25 mars 2016,- Les candidatures qui ne seront pas accompagnées des pièces mentionnées à l'article 50 du décret no 2016-360 du 25 mars 2016 et fixées à l'article 5-1-1 du RC,- Les candidatures qui ne présentent pas des garanties techniques et financières suffisantes.",
17-72530,Les candidats sont tenus de visiter le site mémorial du Camp des Milles en vue de l'élaboration de leur offre. Celles-ci sont organisées sur RV pris auprès du pouvoir adjudicateur au numéro de téléphone indiqué à l'article 1er du présent règlement de la consultation.,
17-72926,Certificats de qualifications et/ou de qualité demandés aux candidats:FNTP 5144 - construction réseaux gravitaires en milieu urbain avec profondeur de tranchée <ou=3.50 m hors nappe phréatiqueFNTP 5113 - construction de réseaux d'adduction et de distribution d'eau (potable ou brute) sous pression ou de refoulement établis en canalisations de DN < 300 mm en site urbain avec reprise de branchements existants ou avec création de branchements neufs.PNTP 3421 - Enrobés classiques Mise en oeuvre par moyens mécaniques ou manuels,
17-55414,Se référer au Règlement de la Consultation.,
17-75633,Les opérateurs économiques devront fournir les certificats de qualifications exigés à l'article 5.2 du Règlement de Consultation,"Les certificats de qualification professionnelle devront être établis par des organismes indépendants. Dans ce cas, l'acheteur accepte tout moyen de preuve équivalent ainsi que les certificats équivalents d'organismes établis dans d'autres Etats membres."
